dataset,image_index,method,k,pfa_target,threshold,pd,empirical_pfa,target_count,bg_count
simMed,0,low_rank_residual,20,0.01,19.474303553385898,0.9534883720930233,0.010001068816514741,43,65493
simMed,0,low_rank_residual,30,1e-05,802.8462726622412,0.13953488372093023,1.526880735345762e-05,43,65493
simMed,0,low_rank_residual,30,3e-05,686.1564991900857,0.16279069767441862,3.053761470691524e-05,43,65493
simMed,0,low_rank_residual,30,0.0001,394.8569895316385,0.23255813953488372,0.00010688165147420336,43,65493
simMed,0,low_rank_residual,30,0.0003,167.62336688819477,0.46511627906976744,0.00030537614706915243,43,65493
simMed,0,low_rank_residual,30,0.001,70.78746984367329,0.7674418604651163,0.001007741285328203,43,65493
simMed,0,low_rank_residual,30,0.003,25.740363614672233,0.9534883720930233,0.0030079550486311513,43,65493
simMed,0,low_rank_residual,30,0.01,13.508083448682308,0.9534883720930233,0.010001068816514741,43,65493
simMed,1,raw,0,1e-05,6187.399581556112,0.0,1.5259021896696422e-05,1,65535
simMed,1,raw,0,3e-05,5419.421015852563,0.0,3.0518043793392844e-05,1,65535
simMed,1,raw,0,0.0001,3271.523497052555,0.0,0.00010681315327687495,1,65535
simMed,1,raw,0,0.0003,2632.73262327056,0.0,0.00030518043793392844,1,65535
simMed,1,raw,0,0.001,1639.7507696062466,0.0,0.001007095445181964,1,65535
simMed,1,raw,0,0.003,962.82871986395,0.0,0.0030060273136491952,1,65535
simMed,1,raw,0,0.01,475.03656595499115,0.0,0.010009918364232854,1,65535
simMed,1,low_rank_residual,1,1e-05,3140.0257086607407,0.0,1.5259021896696422e-05,1,65535
simMed,1,low_rank_residual,1,3e-05,1826.2845165136848,0.0,3.0518043793392844e-05,1,65535
simMed,1,low_rank_residual,1,0.0001,1377.8365918635523,0.0,0.00010681315327687495,1,65535
simMed,1,low_rank_residual,1,0.0003,1038.7231575507499,0.0,0.00030518043793392844,1,65535
simMed,1,low_rank_residual,1,0.001,740.2267634469272,0.0,0.001007095445181964,1,65535
simMed,1,low_rank_residual,1,0.003,480.9423750511496,0.0,0.0030060273136491952,1,65535
simMed,1,low_rank_residual,1,0.01,242.94064530993268,0.0,0.010009918364232854,1,65535
simMed,1,low_rank_residual,2,1e-05,1160.38134394526,0.0,1.5259021896696422e-05,1,65535
simMed,1,low_rank_residual,2,3e-05,884.7067315591462,0.0,3.0518043793392844e-05,1,65535
simMed,1,low_rank_residual,2,0.0001,675.2460875023874,0.0,0.00010681315327687495,1,65535
simMed,1,low_rank_residual,2,0.0003,501.2014349622266,0.0,0.00030518043793392844,1,65535
simMed,1,low_rank_residual,2,0.001,379.14467051068596,0.0,0.001007095445181964,1,65535
simMed,1,low_rank_residual,2,0.003,238.446908245064,0.0,0.0030060273136491952,1,65535
simMed,1,low_rank_residual,2,0.01,125.12048161417438,0.0,0.010009918364232854,1,65535
simMed,1,low_rank_residual,3,1e-05,567.5442748161441,0.0,1.5259021896696422e-05,1,65535
simMed,1,low_rank_residual,3,3e-05,451.7272578677973,0.0,3.0518043793392844e-05,1,65535
simMed,1,low_rank_residual,3,0.0001,394.6190075654032,0.0,0.00010681315327687495,1,65535
simMed,1,low_rank_residual,3,0.0003,270.44813169451106,0.0,0.00030518043793392844,1,65535
simMed,1,low_rank_residual,3,0.001,178.3056141241473,0.0,0.001007095445181964,1,65535
simMed,1,low_rank_residual,3,0.003,119.49478481226363,0.0,0.0030060273136491952,1,65535
simMed,1,low_rank_residual,3,0.01,63.44526082851311,0.0,0.010009918364232854,1,65535
simMed,1,low_rank_residual,5,1e-05,305.35376708709595,0.0,1.5259021896696422e-05,1,65535
simMed,1,low_rank_residual,5,3e-05,223.36271073745422,0.0,3.0518043793392844e-05,1,65535
simMed,1,low_rank_residual,5,0.0001,184.22705364819694,0.0,0.00010681315327687495,1,65535
simMed,1,low_rank_residual,5,0.0003,140.34054925102203,0.0,0.00030518043793392844,1,65535
simMed,1,low_rank_residual,5,0.001,93.42192436022862,0.0,0.001007095445181964,1,65535
simMed,1,low_rank_residual,5,0.003,60.42452302511367,0.0,0.0030060273136491952,1,65535
simMed,1,low_rank_residual,5,0.01,34.04316524033871,0.0,0.010009918364232854,1,65535
simMed,1,low_rank_residual,8,1e-05,86.49423333491639,0.0,1.5259021896696422e-05,1,65535
simMed,1,low_rank_residual,8,3e-05,77.335574017216,0.0,3.0518043793392844e-05,1,65535
simMed,1,low_rank_residual,8,0.0001,67.9427713489046,0.0,0.00010681315327687495,1,65535
simMed,1,low_rank_residual,8,0.0003,52.35306145323728,0.0,0.00030518043793392844,1,65535
simMed,1,low_rank_residual,8,0.001,35.814450880841186,0.0,0.001007095445181964,1,65535
simMed,1,low_rank_residual,8,0.003,27.065645963965952,0.0,0.0030060273136491952,1,65535
simMed,1,low_rank_residual,8,0.01,17.148579425277,0.0,0.010009918364232854,1,65535
