pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,dataset,file,window_index,item_id,method,beta,primary_target_bin_1indexed,guard_bins_1indexed,residual_threshold,gate_threshold
0.0003,138462.8885217162,0.0,0.00029296875,1024,10240,3,3,5,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,low_rank_residual_k30,,9,"8,9,10,11",,
0.001,104839.4233806127,0.0,0.0009765625,1024,10240,10,10,18,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,low_rank_residual_k30,,9,"8,9,10,11",,
0.003,47654.852430794315,0.0,0.0029296875,1024,10240,30,30,61,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,low_rank_residual_k30,,9,"8,9,10,11",,
0.01,18473.953753858368,0.005859375,0.0099609375,1024,10240,102,102,288,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,low_rank_residual_k30,,9,"8,9,10,11",,
1e-05,,0.0,0.0,1024,10240,0,0,2,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,tpsscs_finished_detector,,9,"8,9,10,11",166399.91121147867,953094286.7910473
3e-05,,0.0,0.0,1024,10240,0,0,2,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,tpsscs_finished_detector,,9,"8,9,10,11",166399.91121147867,953094286.7910473
0.0001,,0.0,9.765625e-05,1024,10240,1,1,3,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,tpsscs_finished_detector,,9,"8,9,10,11",153915.92199885336,953094286.7910473
0.0003,,0.0,0.00029296875,1024,10240,3,3,5,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,tpsscs_finished_detector,,9,"8,9,10,11",138462.88852171612,953094286.7910473
0.001,,0.0,0.0009765625,1024,10240,10,10,18,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,tpsscs_finished_detector,,9,"8,9,10,11",104839.42338061257,953094286.7910473
0.003,,0.0,0.0029296875,1024,10240,30,30,61,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,tpsscs_finished_detector,,9,"8,9,10,11",47654.852430794126,953094286.7910473
0.01,,0.005859375,0.0099609375,1024,10240,102,102,288,residual_cfar_plus_zero_false_gate_union,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,tpsscs_finished_detector,,9,"8,9,10,11",18473.953753858354,953094286.7910473
1e-05,7.086128589114012,0.0,0.0,1024,10240,0,0,0,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
3e-05,7.086128589114012,0.0,0.0,1024,10240,0,0,0,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.0001,6.944914441634964,0.0,9.765625e-05,1024,10240,1,1,1,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.0003,6.55022079470258,0.0,0.00029296875,1024,10240,3,3,3,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
0.001,6.29844687747314,0.0,0.0009765625,1024,10240,10,10,10,conservative_topk_strict_gt,IPIX_Dartmouth,19931107_135603_starea.cdf,3,19931107_135603_starea.cdf#3,ipix_validated_residual_fusion,1.5,9,"8,9,10,11",,
