calibration_mode,residual_safety_factor,gate_margin_scale,asset,pfa_target,n_items,tpsscs_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank,tpsscs_empirical_pfa,raw_empirical_pfa,lowrank_empirical_pfa,tpsscs_false_alarms_total,background_count_total,pfa_ceiling,tpsscs_pfa_calibrated,raw_pfa_calibrated,lowrank_pfa_calibrated,beats_raw,beats_lowrank
same_asset_target_free_conservative,1.0,4.0,combined,0.001,210,0.8189516785013716,0.3797036559475925,0.7507174783795032,0.43924802255377915,0.06823420012186843,0.006623417118750271,0.0015333025022732513,0.006588445223172415,91091,13754674,0.0010501000000000002,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,combined,0.003,210,0.8643156053185871,0.4852970262338184,0.8047380295962294,0.3790185790847687,0.05957757572235767,0.013750582787503325,0.004035918314185886,0.013721064141986764,189112,13754674,0.0031501,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,combined,0.01,210,0.9012180113342105,0.6581362441958765,0.8500215785612514,0.24308176713833407,0.051196432772959155,0.03327267506444138,0.01186898320840281,0.03324795554905062,457607,13754674,0.0105001,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,simMed_test.mat,1e-05,105,0.6114862981727998,0.10756648816697639,0.5058578438401101,0.5039198100058233,0.10562845433268964,0.0009099378861062805,3.722715648196352e-05,0.0008641310647307332,6257,6877337,1.0600000000000002e-05,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,simMed_test.mat,3e-05,105,0.6587790455471695,0.15562154018553298,0.5625909891620389,0.5031575053616365,0.09618805638513062,0.0012134380234244012,8.594089017915495e-05,0.0011719939805895229,8344,6877337,3.16e-05,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,simMed_test.mat,0.0001,105,0.7187517899228977,0.21193421477767457,0.6348799098149865,0.5068175751452231,0.08387188010791113,0.0019201977147186382,0.00024342275173026146,0.0018844251586887034,13204,6877337,0.00010510000000000001,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,simMed_test.mat,0.0003,105,0.7685700754250505,0.27226115710582666,0.6955290520465752,0.49630891831922386,0.07304102337847529,0.0032813650796402064,0.0005301766263308646,0.003249664412204036,22564,6877337,0.00031509999999999996,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,simMed_test.mat,0.001,105,0.8193163596384844,0.36070301889035294,0.7560615226764654,0.4586133407481314,0.06325483696201895,0.006812222764701379,0.0015271243818366577,0.006786339081300921,46844,6877337,0.0010501000000000002,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,simMed_test.mat,0.003,105,0.8643574539276566,0.46503395446457113,0.8094213034402946,0.3993234994630855,0.054936150487362,0.01405750979331438,0.004042180580306112,0.014035552401467023,96667,6877337,0.0031501,False,False,False,True,True
same_asset_target_free_conservative,1.0,4.0,simMed_test.mat,0.01,105,0.9038321645381988,0.6385749137510481,0.8555976100278461,0.2652572507871507,0.048234554510352745,0.0341001945253662,0.011965257684078724,0.03408129105273032,234495,6877337,0.0105001,False,False,False,True,True
