label_budget,asset,pfa_target,compact_pd,low_label_hgb_pd,delta_compact_minus_low_label_hgb,compact_empirical_pfa,low_label_hgb_empirical_pfa,n_items,n_pair_observations,n_seeds,compact_item_win_fraction,compact_pfa_calibrated,low_label_hgb_pfa_calibrated,compact_beats_low_label_hgb,pfa
32,combined,0.0001,0.3681866997918742,0.36652481255646924,0.0016618872354048856,9.160522876818475e-05,8.399499474552117e-05,210,630,3,0.4634920634920635,True,True,True,0.0001
32,combined,1e-05,0.18453205303478548,0.09712220942233957,0.08740984361244593,0.0,0.0,210,630,3,0.7301587301587301,True,True,True,1e-05
32,combined,0.0003,0.5261399631103596,0.5638452336092213,-0.03770527049886171,0.0002900832244325381,0.0002850658889080793,210,630,3,0.33015873015873015,True,True,False,0.0003
32,combined,0.01,0.8677902575913438,0.906473232482699,-0.03868297489135519,0.009992820396478945,0.00998756137086375,210,630,3,0.20634920634920634,True,True,False,0.01
32,combined,3e-05,0.2358216637678027,0.16720730165709397,0.06861436211070869,1.526753812803079e-05,1.097795771829844e-05,210,630,3,0.6317460317460317,True,True,True,3e-05
32,simWind_test.mat,0.01,0.8663473290962685,0.9149062712516851,-0.048558942155416694,0.009992820396478945,0.009984386376801832,105,315,3,0.17777777777777778,True,True,False,0.01
32,simWind_test.mat,1e-05,0.18451921564993898,0.13294414913069466,0.051575066519244296,0.0,0.0,105,315,3,0.6349206349206349,True,True,True,1e-05
32,simMed_test.mat,0.01,0.8692331860864191,0.8980401937137128,-0.028807007627293695,0.009992820396478945,0.009990736364925668,105,315,3,0.23492063492063492,True,True,False,0.01
32,simMed_test.mat,1e-05,0.184544890419632,0.06130026971398445,0.12324462070564758,0.0,0.0,105,315,3,0.8253968253968254,True,True,True,1e-05
32,simMed_test.mat,3e-05,0.23292866331646772,0.12050408606561883,0.11242457725084891,1.526753812803079e-05,9.838872092259584e-06,105,315,3,0.7714285714285715,True,True,True,3e-05
32,simWind_test.mat,0.0001,0.3732452108276595,0.4325368602930792,-0.05929164946541972,9.160522876818475e-05,8.855136652301407e-05,105,315,3,0.2984126984126984,True,True,False,0.0001
32,simWind_test.mat,3e-05,0.23871466421913762,0.21391051724856913,0.024804146970568493,1.526753812803079e-05,1.2117043344337293e-05,105,315,3,0.49206349206349204,True,True,True,3e-05
32,simMed_test.mat,0.003,0.8138666025670928,0.7897361105898373,0.024130491977255523,0.0029924374730939812,0.002991710331488475,105,315,3,0.4857142857142857,True,True,True,0.003
32,simMed_test.mat,0.001,0.6957533928816516,0.6833074430707557,0.012445949810895793,0.0009923899783219553,0.0009852144315596215,105,315,3,0.44126984126984126,True,True,True,0.001
32,simWind_test.mat,0.001,0.709979513423963,0.7822671926769399,-0.0722876792529768,0.0009923899783219553,0.0009920022012847554,105,315,3,0.2,True,True,False,0.001
32,simWind_test.mat,0.0003,0.5368152651851739,0.6183584541283784,-0.0815431889432045,0.0002900832244325381,0.00028615647326719277,105,315,3,0.20634920634920634,True,True,False,0.0003
