pfa_target,threshold,pd,empirical_pfa,target_count,background_count,max_false_alarms,false_alarms,detections,threshold_policy,asset,image_index,item_id,method,method_family,train_asset,test_asset
0.01,0.23676695706343412,0.9411764705882353,0.009997100077840016,17,65519,655,655,671,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,13,simWind_test.mat#13,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9995922987081185,0.3333333333333333,0.0,30,65506,0,0,10,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9995218491923717,0.36666666666666664,1.526577718071627e-05,30,65506,1,1,12,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9987878819315547,0.5333333333333333,9.159466308429762e-05,30,65506,6,6,22,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.9942979738750364,0.6666666666666666,0.00029004976643360914,30,65506,19,19,39,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9244214786340591,0.7666666666666667,0.0009922755167465576,30,65506,65,65,88,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.7690202344968721,0.8666666666666667,0.002992092327420389,30,65506,196,196,222,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.42771967824521206,0.9333333333333333,0.009999084053369156,30,65506,655,655,683,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,14,simWind_test.mat#14,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9997008189264378,0.16279069767441862,0.0,43,65493,0,0,7,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9996656954279661,0.18604651162790697,1.526880735345762e-05,43,65493,1,1,9,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0001,0.9989924622260234,0.3953488372093023,9.161284412074573e-05,43,65493,6,6,23,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.0003,0.99421763514619,0.6744186046511628,0.0002901073397156948,43,65493,19,19,48,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.001,0.9635136350265392,0.7674418604651163,0.0009924724779747454,43,65493,65,65,98,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.003,0.8135805239852809,0.9069767441860465,0.0029926862412776936,43,65493,196,196,235,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
0.01,0.5062066904937635,0.9534883720930233,0.009985800009161284,43,65493,654,654,695,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,15,simWind_test.mat#15,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
1e-05,0.9996132437494245,0.4782608695652174,0.0,23,65513,0,0,11,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
3e-05,0.9995916663988572,0.5217391304347826,1.526414604734938e-05,23,65513,1,1,13,loso_supervised_raw_residual_hgb_conservative_topk_strict_gt,simWind_test.mat,16,simWind_test.mat#16,loso_supervised_raw_residual_hgb,learned_raw_residual_feature_ensemble,simMed_test.mat,simWind_test.mat
