asset,item_id,image_index,target_count,method,log_pfa_auc_pd,pfa_points
simMed_test.mat,simMed_test.mat#45,45,35,low_rank_residual_k30,0.45521355893947035,7
simMed_test.mat,simMed_test.mat#45,45,35,raw,0.3974170233600321,7
simMed_test.mat,simMed_test.mat#45,45,35,tpsscs_finished_detector,0.5835670946987052,7
simMed_test.mat,simMed_test.mat#45,45,35,tpsscs_trainable_gate,0.6270779159924292,7
simMed_test.mat,simMed_test.mat#46,46,51,low_rank_residual_k30,0.3870523809035746,7
simMed_test.mat,simMed_test.mat#46,46,51,raw,0.27675281816473896,7
simMed_test.mat,simMed_test.mat#46,46,51,tpsscs_finished_detector,0.3984155222588676,7
simMed_test.mat,simMed_test.mat#46,46,51,tpsscs_trainable_gate,0.3952970826855365,7
simMed_test.mat,simMed_test.mat#47,47,28,low_rank_residual_k30,0.5262608179467029,7
simMed_test.mat,simMed_test.mat#47,47,28,raw,0.3060227227086076,7
simMed_test.mat,simMed_test.mat#47,47,28,tpsscs_finished_detector,0.5291008254152723,7
simMed_test.mat,simMed_test.mat#47,47,28,tpsscs_trainable_gate,0.5330302969448101,7
simMed_test.mat,simMed_test.mat#48,48,25,low_rank_residual_k30,0.5500222159744496,7
simMed_test.mat,simMed_test.mat#48,48,25,raw,0.18562120786136713,7
simMed_test.mat,simMed_test.mat#48,48,25,tpsscs_finished_detector,0.5894121161003072,7
simMed_test.mat,simMed_test.mat#48,48,25,tpsscs_trainable_gate,0.5328979744021761,7
simMed_test.mat,simMed_test.mat#49,49,33,low_rank_residual_k30,0.4500895258715612,7
simMed_test.mat,simMed_test.mat#49,49,33,raw,0.24932353497214843,7
simMed_test.mat,simMed_test.mat#49,49,33,tpsscs_finished_detector,0.4825711610440813,7
simMed_test.mat,simMed_test.mat#49,49,33,tpsscs_trainable_gate,0.434938010720046,7
simMed_test.mat,simMed_test.mat#50,50,25,low_rank_residual_k30,0.5932030243392473,7
simMed_test.mat,simMed_test.mat#50,50,25,raw,0.10501110798722474,7
simMed_test.mat,simMed_test.mat#50,50,25,tpsscs_finished_detector,0.6163838327040451,7
simMed_test.mat,simMed_test.mat#50,50,25,tpsscs_trainable_gate,0.5703272659115206,7
simMed_test.mat,simMed_test.mat#51,51,16,low_rank_residual_k30,0.507353215703365,7
simMed_test.mat,simMed_test.mat#51,51,16,raw,0.2102398954400281,7
simMed_test.mat,simMed_test.mat#51,51,16,tpsscs_finished_detector,0.507353215703365,7
simMed_test.mat,simMed_test.mat#51,51,16,tpsscs_trainable_gate,0.5712831372833861,7
simMed_test.mat,simMed_test.mat#52,52,59,low_rank_residual_k30,0.47581363999009557,7
simMed_test.mat,simMed_test.mat#52,52,59,raw,0.36442560675800806,7
simMed_test.mat,simMed_test.mat#52,52,59,tpsscs_finished_detector,0.4927627925324684,7
simMed_test.mat,simMed_test.mat#52,52,59,tpsscs_trainable_gate,0.4952739187182474,7
simMed_test.mat,simMed_test.mat#53,53,49,low_rank_residual_k30,0.5082926141377341,7
simMed_test.mat,simMed_test.mat#53,53,49,raw,0.14070088409688908,7
simMed_test.mat,simMed_test.mat#53,53,49,tpsscs_finished_detector,0.5491089406683464,7
simMed_test.mat,simMed_test.mat#53,53,49,tpsscs_trainable_gate,0.4881957263184189,7
simMed_test.mat,simMed_test.mat#54,54,36,low_rank_residual_k30,0.4361538939985669,7
simMed_test.mat,simMed_test.mat#54,54,36,raw,0.39143097169781527,7
simMed_test.mat,simMed_test.mat#54,54,36,tpsscs_finished_detector,0.4890768743881919,7
simMed_test.mat,simMed_test.mat#54,54,36,tpsscs_trainable_gate,0.5704131532578263,7
simMed_test.mat,simMed_test.mat#55,55,24,low_rank_residual_k30,0.27968433988447255,7
simMed_test.mat,simMed_test.mat#55,55,24,raw,0.3147243224578105,7
simMed_test.mat,simMed_test.mat#55,55,24,tpsscs_finished_detector,0.3213510065511392,7
simMed_test.mat,simMed_test.mat#55,55,24,tpsscs_trainable_gate,0.5309553812889357,7
simMed_test.mat,simMed_test.mat#56,56,19,low_rank_residual_k30,0.519550767129854,7
simMed_test.mat,simMed_test.mat#56,56,19,raw,0.19458798212493592,7
simMed_test.mat,simMed_test.mat#56,56,19,tpsscs_finished_detector,0.5412799009431845,7
simMed_test.mat,simMed_test.mat#56,56,19,tpsscs_trainable_gate,0.5692012164014538,7
simMed_test.mat,simMed_test.mat#59,59,39,low_rank_residual_k30,0.6012237707624365,7
simMed_test.mat,simMed_test.mat#59,59,39,raw,0.5175971201819193,7
simMed_test.mat,simMed_test.mat#59,59,39,tpsscs_finished_detector,0.6775602131911458,7
simMed_test.mat,simMed_test.mat#59,59,39,tpsscs_trainable_gate,0.6222002024670461,7
simMed_test.mat,simMed_test.mat#61,61,51,low_rank_residual_k30,0.46593235630122826,7
simMed_test.mat,simMed_test.mat#61,61,51,raw,0.2272846074729676,7
simMed_test.mat,simMed_test.mat#61,61,51,tpsscs_finished_detector,0.5197791577872403,7
simMed_test.mat,simMed_test.mat#61,61,51,tpsscs_trainable_gate,0.4839809796518176,7
simMed_test.mat,simMed_test.mat#62,62,26,low_rank_residual_k30,0.47976398191798114,7
simMed_test.mat,simMed_test.mat#62,62,26,raw,0.23952602515695762,7
simMed_test.mat,simMed_test.mat#62,62,26,tpsscs_finished_detector,0.4828224514995174,7
simMed_test.mat,simMed_test.mat#62,62,26,tpsscs_trainable_gate,0.4611198471815796,7
simMed_test.mat,simMed_test.mat#63,63,58,low_rank_residual_k30,0.4544366013333818,7
simMed_test.mat,simMed_test.mat#63,63,58,raw,0.36606974444233664,7
simMed_test.mat,simMed_test.mat#63,63,58,tpsscs_finished_detector,0.5877285733839517,7
simMed_test.mat,simMed_test.mat#63,63,58,tpsscs_trainable_gate,0.5017846509159095,7
simMed_test.mat,simMed_test.mat#64,64,16,low_rank_residual_k30,0.43940656210669476,7
simMed_test.mat,simMed_test.mat#64,64,16,raw,0.22610321570336497,7
simMed_test.mat,simMed_test.mat#64,64,16,tpsscs_finished_detector,0.5644065621066948,7
simMed_test.mat,simMed_test.mat#64,64,16,tpsscs_trainable_gate,0.5807465228967054,7
simMed_test.mat,simMed_test.mat#65,65,30,low_rank_residual_k30,0.34331902049246876,7
simMed_test.mat,simMed_test.mat#65,65,30,raw,0.43322474250492826,7
simMed_test.mat,simMed_test.mat#65,65,30,tpsscs_finished_detector,0.40998568715913547,7
simMed_test.mat,simMed_test.mat#65,65,30,tpsscs_trainable_gate,0.5533047076516043,7
simMed_test.mat,simMed_test.mat#67,67,44,low_rank_residual_k30,0.497697996461868,7
simMed_test.mat,simMed_test.mat#67,67,44,raw,0.3466035318036645,7
simMed_test.mat,simMed_test.mat#67,67,44,tpsscs_finished_detector,0.5164640665733806,7
simMed_test.mat,simMed_test.mat#67,67,44,tpsscs_trainable_gate,0.4845270826182329,7
simMed_test.mat,simMed_test.mat#69,69,41,low_rank_residual_k30,0.5172967422530533,7
simMed_test.mat,simMed_test.mat#69,69,41,raw,0.2641481855727117,7
simMed_test.mat,simMed_test.mat#69,69,41,tpsscs_finished_detector,0.5475055380423176,7
simMed_test.mat,simMed_test.mat#69,69,41,tpsscs_trainable_gate,0.50935266701143,7
simMed_test.mat,simMed_test.mat#7,7,50,low_rank_residual_k30,0.48115504525124164,7
