asset,item_id,image_index,pfa_target,target_method,comparator,target_pd,comparator_pd,delta_pd,target_empirical_pfa,target_count,outcome
simMed_test.mat,simMed_test.mat#115,115,0.0001,tpsscs_finished_detector,raw,0.1363636363636363,0.1363636363636363,0.0,9.158347834050736e-05,22,tie
simMed_test.mat,simMed_test.mat#115,115,0.0003,tpsscs_finished_detector,raw,0.2727272727272727,0.1818181818181818,0.09090909090909091,0.0002900143480782,22,win
simMed_test.mat,simMed_test.mat#115,115,0.001,tpsscs_finished_detector,raw,0.4545454545454545,0.3181818181818182,0.1363636363636363,0.0009921543486888,22,win
simMed_test.mat,simMed_test.mat#115,115,0.003,tpsscs_finished_detector,raw,0.5454545454545454,0.3181818181818182,0.22727272727272724,0.0029917269591232,22,win
simMed_test.mat,simMed_test.mat#115,115,0.01,tpsscs_finished_detector,raw,0.7272727272727273,0.5909090909090909,0.13636363636363635,0.009997863052172,22,win
simMed_test.mat,simMed_test.mat#116,116,1e-05,tpsscs_finished_detector,raw,0.037037037037037,0.037037037037037,0.0,0.0,27,tie
simMed_test.mat,simMed_test.mat#116,116,3e-05,tpsscs_finished_detector,raw,0.074074074074074,0.037037037037037,0.037037037037037,1.5265078080874384e-05,27,win
simMed_test.mat,simMed_test.mat#116,116,0.0001,tpsscs_finished_detector,raw,0.2222222222222222,0.037037037037037,0.1851851851851852,9.15904684852463e-05,27,win
simMed_test.mat,simMed_test.mat#116,116,0.0003,tpsscs_finished_detector,raw,0.5185185185185185,0.037037037037037,0.4814814814814815,0.0002900364835366,27,win
simMed_test.mat,simMed_test.mat#116,116,0.001,tpsscs_finished_detector,raw,0.8148148148148148,0.1481481481481481,0.6666666666666666,0.0009922300752568,27,win
simMed_test.mat,simMed_test.mat#116,116,0.003,tpsscs_finished_detector,raw,0.8888888888888888,0.2592592592592592,0.6296296296296297,0.0029919553038513,27,win
simMed_test.mat,simMed_test.mat#116,116,0.01,tpsscs_finished_detector,raw,0.9629629629629628,0.3703703703703703,0.5925925925925926,0.0099986261429727,27,win
simMed_test.mat,simMed_test.mat#117,117,1e-05,tpsscs_finished_detector,raw,0.125,0.0357142857142857,0.0892857142857143,0.0,56,win
simMed_test.mat,simMed_test.mat#117,117,3e-05,tpsscs_finished_detector,raw,0.125,0.1785714285714285,-0.05357142857142849,1.5271838729383018e-05,56,loss
simMed_test.mat,simMed_test.mat#117,117,0.0001,tpsscs_finished_detector,raw,0.2142857142857142,0.2321428571428571,-0.017857142857142905,9.163103237629813e-05,56,loss
simMed_test.mat,simMed_test.mat#117,117,0.0003,tpsscs_finished_detector,raw,0.3392857142857143,0.2857142857142857,0.0535714285714286,0.0002901649358582,56,win
simMed_test.mat,simMed_test.mat#117,117,0.001,tpsscs_finished_detector,raw,0.6071428571428571,0.3392857142857143,0.2678571428571428,0.0009926695174098,56,win
simMed_test.mat,simMed_test.mat#117,117,0.003,tpsscs_finished_detector,raw,0.8928571428571429,0.5,0.3928571428571429,0.002993280390959,56,win
simMed_test.mat,simMed_test.mat#117,117,0.01,tpsscs_finished_detector,raw,0.9464285714285714,0.5714285714285714,0.375,0.0099877825290164,56,win
simMed_test.mat,simMed_test.mat#118,118,1e-05,tpsscs_finished_detector,raw,0.1052631578947368,0.0350877192982456,0.0701754385964912,0.0,57,win
simMed_test.mat,simMed_test.mat#118,118,3e-05,tpsscs_finished_detector,raw,0.1052631578947368,0.0350877192982456,0.0701754385964912,1.5272071962003084e-05,57,win
simMed_test.mat,simMed_test.mat#118,118,0.0001,tpsscs_finished_detector,raw,0.2280701754385964,0.1052631578947368,0.1228070175438596,9.163243177201852e-05,57,win
simMed_test.mat,simMed_test.mat#118,118,0.0003,tpsscs_finished_detector,raw,0.4035087719298245,0.1578947368421052,0.24561403508771928,0.000290169367278,57,win
simMed_test.mat,simMed_test.mat#118,118,0.001,tpsscs_finished_detector,raw,0.6491228070175439,0.3508771929824561,0.29824561403508776,0.0009926846775302,57,win
simMed_test.mat,simMed_test.mat#118,118,0.003,tpsscs_finished_detector,raw,0.7894736842105263,0.4385964912280701,0.35087719298245623,0.0029933261045526,57,win
simMed_test.mat,simMed_test.mat#118,118,0.01,tpsscs_finished_detector,raw,0.912280701754386,0.631578947368421,0.280701754385965,0.00998793506315,57,win
simMed_test.mat,simMed_test.mat#12,12,1e-05,tpsscs_finished_detector,raw,0.1578947368421052,0.0701754385964912,0.087719298245614,0.0,57,win
simMed_test.mat,simMed_test.mat#12,12,3e-05,tpsscs_finished_detector,raw,0.1578947368421052,0.1403508771929824,0.017543859649122806,1.5272071962003084e-05,57,win
simMed_test.mat,simMed_test.mat#12,12,0.0001,tpsscs_finished_detector,raw,0.3157894736842105,0.1929824561403508,0.1228070175438597,9.163243177201852e-05,57,win
simMed_test.mat,simMed_test.mat#12,12,0.0003,tpsscs_finished_detector,raw,0.4561403508771929,0.2982456140350877,0.1578947368421052,0.000290169367278,57,win
