calibration_mode,residual_safety_factor,gate_margin_scale,asset,pfa_target,n_items,tpsscs_pd,raw_pd,lowrank_pd,delta_vs_raw,delta_vs_lowrank,tpsscs_empirical_pfa,raw_empirical_pfa,lowrank_empirical_pfa,tpsscs_false_alarms_total,background_count_total,pfa_ceiling,tpsscs_pfa_calibrated,raw_pfa_calibrated,lowrank_pfa_calibrated,beats_raw,beats_lowrank
cross_asset_target_free_conservative,1000.0,65536.0,simWind_test.mat,0.001,105,0.45986910649013046,0.05299572520410039,0.45986910649013046,0.40687338128603007,0.0,0.0006108007958287846,5.816626549763409e-06,0.0006108007958287846,4200,6877337,0.0010501000000000002,True,True,True,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simWind_test.mat,0.003,105,0.48323053490250634,0.07680541719094329,0.48323053490250634,0.40642511771156303,0.0,0.0006854053038542792,1.1197201312804595e-05,0.0006854053038542792,4713,6877337,0.0031501,True,True,True,True,False
cross_asset_target_free_conservative,1000.0,65536.0,simWind_test.mat,0.01,105,0.537560630735548,0.10686289059959145,0.537560630735548,0.43069774013595663,0.0,0.0009025256280355355,2.573914078622439e-05,0.0009025256280355355,6206,6877337,0.0105001,True,True,True,True,False
same_asset_target_free_conservative,1000.0,256.0,combined,1e-05,210,0.5172467502925157,0.06329340133139344,0.41671392376906374,0.4539533489611222,0.10053282652345191,0.0005537920163980703,9.452212440864415e-06,0.000519254736461002,7616,13754674,1.0600000000000002e-05,False,True,False,True,True
same_asset_target_free_conservative,1000.0,256.0,combined,3e-05,210,0.5172467502925157,0.06329340133139344,0.41671392376906374,0.4539533489611222,0.10053282652345191,0.0005537920163980703,9.452212440864415e-06,0.000519254736461002,7616,13754674,3.16e-05,False,True,False,True,True
same_asset_target_free_conservative,1000.0,256.0,combined,0.0001,210,0.5172467502925157,0.06329340133139344,0.41671392376906374,0.4539533489611222,0.10053282652345191,0.0005537920163980703,9.452212440864415e-06,0.000519254736461002,7616,13754674,0.00010510000000000001,False,True,False,True,True
same_asset_target_free_conservative,1000.0,256.0,combined,0.0003,210,0.5172467502925157,0.06329340133139344,0.41671392376906374,0.4539533489611222,0.10053282652345191,0.0005537920163980703,9.452212440864415e-06,0.000519254736461002,7616,13754674,0.00031509999999999996,False,True,False,True,True
same_asset_target_free_conservative,1000.0,256.0,combined,0.001,210,0.5206814669996523,0.0657531516085371,0.4204893445126785,0.4549283153911152,0.10019212248697384,0.0005640445431335038,1.0033906841795108e-05,0.0005296526737485884,7757,13754674,0.0010501000000000002,True,True,True,True,True
same_asset_target_free_conservative,1000.0,256.0,combined,0.003,210,0.5466016263175663,0.08171806214533062,0.45303542482175946,0.46488356417223564,0.0935662014958068,0.0006510094093903582,1.5341757422292066e-05,0.0006186535164987059,8953,13754674,0.0031501,True,True,True,True,True
same_asset_target_free_conservative,1000.0,256.0,combined,0.01,210,0.591645746078917,0.12159898094895295,0.5102623905974354,0.470046765129964,0.08138335548148157,0.0008598407583447742,4.0789765138511033e-05,0.0008301025008071062,11825,13754674,0.0105001,True,True,True,True,True
same_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,1e-05,105,0.527459707846649,0.05445668578193068,0.4399277634056081,0.4730030220647183,0.0875319444410409,0.0006302858192903492,8.434294105823042e-06,0.000602656074826218,4334,6877337,1.0600000000000002e-05,False,True,False,True,True
same_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,3e-05,105,0.527459707846649,0.05445668578193068,0.4399277634056081,0.4730030220647183,0.0875319444410409,0.0006302858192903492,8.434294105823042e-06,0.000602656074826218,4334,6877337,3.16e-05,False,True,False,True,True
same_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.0001,105,0.527459707846649,0.05445668578193068,0.4399277634056081,0.4730030220647183,0.0875319444410409,0.0006302858192903492,8.434294105823042e-06,0.000602656074826218,4334,6877337,0.00010510000000000001,False,True,False,True,True
same_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.0003,105,0.527459707846649,0.05445668578193068,0.4399277634056081,0.4730030220647183,0.0875319444410409,0.0006302858192903492,8.434294105823042e-06,0.000602656074826218,4334,6877337,0.00031509999999999996,False,True,False,True,True
same_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.001,105,0.5328250974462493,0.05470088602613092,0.4459745610781645,0.47812421142011835,0.08685053636808476,0.0006474459192688093,8.434294105823042e-06,0.000619961585356831,4452,6877337,0.0010501000000000002,True,True,True,True,True
same_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.003,105,0.5507087881919012,0.0781139845070218,0.4657849457505103,0.4725948036848794,0.08492384244139084,0.0007104156312691479,1.5850725438369646e-05,0.0006833675312517056,4885,6877337,0.0031501,True,True,True,True,True
same_asset_target_free_conservative,1000.0,256.0,simMed_test.mat,0.01,105,0.5825420597725897,0.10756648816697639,0.5058578438401101,0.47497557160561327,0.07668421593247954,0.0008895795065366577,3.722715648196352e-05,0.0008641310647307332,6117,6877337,0.0105001,True,True,True,True,True
same_asset_target_free_conservative,1000.0,256.0,simWind_test.mat,1e-05,105,0.5070337927383822,0.0721301168808562,0.3935000841325194,0.43490367585752604,0.11353370860586282,0.0004772982135057913,1.0470130775905792e-05,0.00043585339809578603,3282,6877337,1.0600000000000002e-05,False,True,False,True,True
