label_budget,label_budget_positive_frames,asset,pfa_target,compact_pd,low_label_hgb_pd,delta_compact_minus_low_label_hgb,compact_empirical_pfa,low_label_hgb_empirical_pfa,n_items,n_pair_observations,n_seeds,compact_item_win_fraction,compact_pfa_calibrated,low_label_hgb_pfa_calibrated,compact_beats_low_label_hgb,pfa
8,8,combined,0.0001,0.3681866997918742,0.5897612576153815,-0.22157455782350727,9.160522876818475e-05,9.143558903266258e-05,210,630,3,0.07142857142857142,True,True,False,0.0001
8,8,simMed_test.mat,0.01,0.8692331860864191,0.9348499306505792,-0.0656167445641601,0.009992820396478945,0.009992141998859252,105,315,3,0.11746031746031746,True,True,False,0.01
8,8,simWind_test.mat,0.001,0.709979513423963,0.8457795527519422,-0.13580003932797907,0.0009923899783219553,0.0009923899783220013,105,315,3,0.05396825396825397,True,True,False,0.001
8,8,simWind_test.mat,0.0003,0.5368152651851739,0.7431575867294283,-0.20634232154425444,0.0002900832244325381,0.00029003476682608553,105,315,3,0.06031746031746032,True,True,False,0.0003
16,16,combined,0.01,0.8677902575913438,0.9393500576400573,-0.07155980004871347,0.009992820396478945,0.009992747698966957,210,630,3,0.08412698412698413,True,True,False,0.01
16,16,combined,0.003,0.813040071150322,0.9001441378450484,-0.08710406669472658,0.0029924374730939812,0.00299241324207159,210,630,3,0.09206349206349207,True,True,False,0.003
16,16,combined,1e-05,0.18453205303478548,0.28146295982235514,-0.09693090678756963,0.0,0.0,210,630,3,0.2904761904761905,True,True,False,1e-05
16,16,combined,0.001,0.7028664531528073,0.8473866506795733,-0.14452019752676612,0.0009923899783219553,0.0009923657361974798,210,630,3,0.03492063492063492,True,True,False,0.001
16,16,simWind_test.mat,0.01,0.8663473290962685,0.9340137273117209,-0.06766639821545248,0.009992820396478945,0.009992771936653403,105,315,3,0.08888888888888889,True,True,False,0.01
16,16,simWind_test.mat,0.003,0.812213539733551,0.8984408735923823,-0.08622733385883129,0.0029924374730939812,0.002992389011049145,105,315,3,0.07936507936507936,True,True,False,0.003
16,16,simWind_test.mat,1e-05,0.18451921564993898,0.29788300538578255,-0.11336378973584357,0.0,0.0,105,315,3,0.24444444444444444,True,True,False,1e-05
16,16,simMed_test.mat,0.01,0.8692331860864191,0.9446863879683937,-0.07545320188197448,0.009992820396478945,0.009992723461280507,105,315,3,0.07936507936507936,True,True,False,0.01
16,16,simMed_test.mat,0.0001,0.3631281887560889,0.6026257209045495,-0.2394975321484606,9.160522876818475e-05,9.160522876818475e-05,105,315,3,0.01904761904761905,True,True,False,0.0001
16,16,simMed_test.mat,0.0003,0.5154646610355453,0.7356258325156706,-0.22016117148012526,0.0002900832244325381,0.00029008322443258505,105,315,3,0.04126984126984127,True,True,False,0.0003
16,16,simMed_test.mat,0.001,0.6957533928816516,0.837578979171427,-0.14182558628977548,0.0009923899783219553,0.0009923899783220013,105,315,3,0.044444444444444446,True,True,False,0.001
16,16,simMed_test.mat,0.003,0.8138666025670928,0.9018474020977147,-0.08798079953062186,0.0029924374730939812,0.002992437473094035,105,315,3,0.10476190476190476,True,True,False,0.003
16,16,simWind_test.mat,0.0001,0.3732452108276595,0.6500692242774089,-0.27682401344974944,9.160522876818475e-05,9.155677559926271e-05,105,315,3,0.031746031746031744,True,True,False,0.0001
16,16,simWind_test.mat,3e-05,0.23871466421913762,0.4169014977453903,-0.1781868335262527,1.526753812803079e-05,1.5073651458153842e-05,105,315,3,0.13968253968253969,True,True,False,3e-05
16,16,simMed_test.mat,3e-05,0.23292866331646772,0.3827265090791043,-0.14979784576263655,1.526753812803079e-05,1.526753812803079e-05,105,315,3,0.13968253968253969,True,True,False,3e-05
16,16,simMed_test.mat,1e-05,0.184544890419632,0.2650429142589277,-0.08049802383929569,0.0,0.0,105,315,3,0.33650793650793653,True,True,False,1e-05
16,16,combined,3e-05,0.2358216637678027,0.39981400341224727,-0.16399233964444462,1.526753812803079e-05,1.5170594793092317e-05,210,630,3,0.13968253968253969,True,True,False,3e-05
16,16,combined,0.0001,0.3681866997918742,0.6263474725909792,-0.258160772799105,9.160522876818475e-05,9.158100218372373e-05,210,630,3,0.025396825396825397,True,True,False,0.0001
16,16,simWind_test.mat,0.001,0.709979513423963,0.8571943221877198,-0.14721480876375675,0.0009923899783219553,0.0009923414940729582,105,315,3,0.025396825396825397,True,True,False,0.001
16,16,simWind_test.mat,0.0003,0.5368152651851739,0.7773407593791867,-0.24052549419401273,0.0002900832244325381,0.0002900347660864103,105,315,3,0.0380952380952381,True,True,False,0.0003
16,16,combined,0.0003,0.5261399631103596,0.7564832959474287,-0.23034333283706898,0.0002900832244325381,0.00029005899525949764,210,630,3,0.03968253968253968,True,True,False,0.0003
32,32,combined,0.001,0.7028664531528073,0.8528920873160913,-0.15002563416328404,0.0009923899783219553,0.0009923899783220013,210,630,3,0.04126984126984127,True,True,False,0.001
32,32,combined,1e-05,0.18453205303478548,0.3224655873021685,-0.137933534267383,0.0,0.0,210,630,3,0.2365079365079365,True,True,False,1e-05
