calibration_mode,calibration_asset,asset,image_index,item_id,method,pfa_target,pd,empirical_pfa,target_count,background_count,false_alarms,detections,threshold_policy
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,raw,0.0001,0.1724137931034483,9.163383121048291e-05,58,65478,6,16,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,low_rank_residual_k30,0.0001,0.8620689655172413,0.0036348086380158223,58,65478,238,288,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,tpsscs_finished_detector,0.0001,0.896551724137931,0.003650080943217569,58,65478,239,291,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,raw,0.0003,0.2413793103448276,0.00021381227282446012,58,65478,14,28,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,low_rank_residual_k30,0.0003,0.8793103448275862,0.005192583768594032,58,65478,340,391,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,tpsscs_finished_detector,0.0003,0.9137931034482759,0.005207856073795779,58,65478,341,394,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,raw,0.001,0.29310344827586204,0.0010232444485170592,58,65478,67,84,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,low_rank_residual_k30,0.001,0.896551724137931,0.00948410153028498,58,65478,621,673,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,tpsscs_finished_detector,0.001,0.9310344827586207,0.009499373835486729,58,65478,622,676,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,raw,0.003,0.41379310344827586,0.0036042640276123276,58,65478,236,260,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,low_rank_residual_k30,0.003,0.9310344827586207,0.016631540364702647,58,65478,1089,1143,target_free_background_fixed_threshold
same_asset_target_free,simMed_test.mat,simMed_test.mat,11,simMed_test.mat#11,tpsscs_finished_detector,0.003,0.9655172413793104,0.016646812669904396,58,65478,1090,1146,target_free_background_fixed_threshold
