asset,item_id,image_index,target_count,pfa_target,target_pd,comparator_pd,comparator,delta_pd
simMed_test.mat,simMed_test.mat#107,107,49,0.001,0.6530612244897959,0.4897959183673469,raw,0.16326530612244894
simMed_test.mat,simMed_test.mat#107,107,49,0.003,0.7142857142857143,0.6326530612244898,raw,0.08163265306122447
simMed_test.mat,simMed_test.mat#107,107,49,0.01,0.8571428571428571,0.7755102040816326,raw,0.08163265306122447
simMed_test.mat,simMed_test.mat#107,107,49,1e-05,0.1224489795918367,0.0816326530612244,tpsscs_trainable_gate,0.040816326530612304
simMed_test.mat,simMed_test.mat#107,107,49,3e-05,0.1428571428571428,0.1224489795918367,tpsscs_trainable_gate,0.02040816326530609
simMed_test.mat,simMed_test.mat#107,107,49,0.0001,0.3061224489795918,0.2244897959183673,tpsscs_trainable_gate,0.0816326530612245
simMed_test.mat,simMed_test.mat#107,107,49,0.0003,0.4693877551020408,0.4489795918367347,tpsscs_trainable_gate,0.02040816326530609
simMed_test.mat,simMed_test.mat#107,107,49,0.001,0.6530612244897959,0.7346938775510204,tpsscs_trainable_gate,-0.08163265306122458
simMed_test.mat,simMed_test.mat#107,107,49,0.003,0.7142857142857143,0.8163265306122449,tpsscs_trainable_gate,-0.10204081632653061
simMed_test.mat,simMed_test.mat#107,107,49,0.01,0.8571428571428571,0.9183673469387756,tpsscs_trainable_gate,-0.061224489795918546
simMed_test.mat,simMed_test.mat#108,108,25,1e-05,0.24,0.16,low_rank_residual_k30,0.07999999999999999
simMed_test.mat,simMed_test.mat#108,108,25,3e-05,0.28,0.2,low_rank_residual_k30,0.08000000000000002
simMed_test.mat,simMed_test.mat#108,108,25,0.0001,0.32,0.28,low_rank_residual_k30,0.03999999999999998
simMed_test.mat,simMed_test.mat#108,108,25,0.0003,0.64,0.6,low_rank_residual_k30,0.040000000000000036
simMed_test.mat,simMed_test.mat#108,108,25,0.001,0.68,0.68,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#108,108,25,0.003,0.92,0.92,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#108,108,25,0.01,0.92,0.92,low_rank_residual_k30,0.0
simMed_test.mat,simMed_test.mat#108,108,25,1e-05,0.24,0.04,raw,0.19999999999999998
simMed_test.mat,simMed_test.mat#108,108,25,3e-05,0.28,0.08,raw,0.2
simMed_test.mat,simMed_test.mat#108,108,25,0.0001,0.32,0.16,raw,0.16
simMed_test.mat,simMed_test.mat#108,108,25,0.0003,0.64,0.2,raw,0.44
simMed_test.mat,simMed_test.mat#108,108,25,0.001,0.68,0.2,raw,0.48000000000000004
simMed_test.mat,simMed_test.mat#108,108,25,0.003,0.92,0.32,raw,0.6000000000000001
simMed_test.mat,simMed_test.mat#108,108,25,0.01,0.92,0.44,raw,0.48000000000000004
simMed_test.mat,simMed_test.mat#108,108,25,1e-05,0.24,0.08,tpsscs_trainable_gate,0.15999999999999998
simMed_test.mat,simMed_test.mat#108,108,25,3e-05,0.28,0.16,tpsscs_trainable_gate,0.12000000000000002
simMed_test.mat,simMed_test.mat#108,108,25,0.0001,0.32,0.28,tpsscs_trainable_gate,0.03999999999999998
simMed_test.mat,simMed_test.mat#108,108,25,0.0003,0.64,0.4,tpsscs_trainable_gate,0.24
simMed_test.mat,simMed_test.mat#108,108,25,0.001,0.68,0.76,tpsscs_trainable_gate,-0.07999999999999996
simMed_test.mat,simMed_test.mat#108,108,25,0.003,0.92,0.92,tpsscs_trainable_gate,0.0
simMed_test.mat,simMed_test.mat#108,108,25,0.01,0.92,0.92,tpsscs_trainable_gate,0.0
simMed_test.mat,simMed_test.mat#11,11,58,1e-05,0.1379310344827586,0.1034482758620689,low_rank_residual_k30,0.034482758620689696
simMed_test.mat,simMed_test.mat#11,11,58,3e-05,0.1896551724137931,0.1551724137931034,low_rank_residual_k30,0.034482758620689696
simMed_test.mat,simMed_test.mat#11,11,58,0.0001,0.3620689655172414,0.3275862068965517,low_rank_residual_k30,0.03448275862068967
simMed_test.mat,simMed_test.mat#11,11,58,0.0003,0.4655172413793103,0.4310344827586206,low_rank_residual_k30,0.03448275862068967
simMed_test.mat,simMed_test.mat#11,11,58,0.001,0.7068965517241379,0.6724137931034483,low_rank_residual_k30,0.03448275862068961
simMed_test.mat,simMed_test.mat#11,11,58,0.003,0.8448275862068966,0.8103448275862069,low_rank_residual_k30,0.034482758620689724
simMed_test.mat,simMed_test.mat#11,11,58,0.01,0.913793103448276,0.896551724137931,low_rank_residual_k30,0.017241379310344973
simMed_test.mat,simMed_test.mat#11,11,58,1e-05,0.1379310344827586,0.0344827586206896,raw,0.10344827586206899
simMed_test.mat,simMed_test.mat#11,11,58,3e-05,0.1896551724137931,0.0862068965517241,raw,0.10344827586206899
simMed_test.mat,simMed_test.mat#11,11,58,0.0001,0.3620689655172414,0.1896551724137931,raw,0.1724137931034483
simMed_test.mat,simMed_test.mat#11,11,58,0.0003,0.4655172413793103,0.2413793103448276,raw,0.22413793103448268
simMed_test.mat,simMed_test.mat#11,11,58,0.001,0.7068965517241379,0.293103448275862,raw,0.4137931034482759
simMed_test.mat,simMed_test.mat#11,11,58,0.003,0.8448275862068966,0.3448275862068966,raw,0.5
simMed_test.mat,simMed_test.mat#11,11,58,0.01,0.913793103448276,0.5689655172413793,raw,0.3448275862068967
simMed_test.mat,simMed_test.mat#11,11,58,1e-05,0.1379310344827586,0.0344827586206896,tpsscs_trainable_gate,0.10344827586206899
simMed_test.mat,simMed_test.mat#11,11,58,3e-05,0.1896551724137931,0.1379310344827586,tpsscs_trainable_gate,0.0517241379310345
simMed_test.mat,simMed_test.mat#11,11,58,0.0001,0.3620689655172414,0.2758620689655172,tpsscs_trainable_gate,0.0862068965517242
simMed_test.mat,simMed_test.mat#11,11,58,0.0003,0.4655172413793103,0.5344827586206896,tpsscs_trainable_gate,-0.06896551724137934
simMed_test.mat,simMed_test.mat#11,11,58,0.001,0.7068965517241379,0.7931034482758621,tpsscs_trainable_gate,-0.0862068965517242
simMed_test.mat,simMed_test.mat#11,11,58,0.003,0.8448275862068966,0.9827586206896552,tpsscs_trainable_gate,-0.13793103448275867
simMed_test.mat,simMed_test.mat#11,11,58,0.01,0.913793103448276,1.0,tpsscs_trainable_gate,-0.08620689655172398
simMed_test.mat,simMed_test.mat#110,110,63,1e-05,0.1111111111111111,0.0476190476190476,low_rank_residual_k30,0.0634920634920635
simMed_test.mat,simMed_test.mat#110,110,63,3e-05,0.1428571428571428,0.0793650793650793,low_rank_residual_k30,0.06349206349206349
simMed_test.mat,simMed_test.mat#110,110,63,0.0001,0.2539682539682539,0.1904761904761904,low_rank_residual_k30,0.06349206349206349
