asset,pfa_target,method,method_family,pd_mean,empirical_pfa_mean,n_items
simWind_test.mat,0.003,tpsscs_finished_detector,proposed,0.8122135397335509,0.002992437473094035,105
simWind_test.mat,0.01,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.8453874220628611,0.009992820396478995,105
simWind_test.mat,0.01,low_rank_residual_k30_global_topk,global,0.8393465413357233,0.009992820396478995,105
simWind_test.mat,0.01,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.8359488253176012,0.009992820396478995,105
simWind_test.mat,0.01,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.8470051964175529,0.009992820396478995,105
simWind_test.mat,0.01,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.0071114755950022705,0.009992820396478995,105
simWind_test.mat,0.01,raw_ca_cfar_local,classical_local_cfar,0.8020353048379435,0.009992820396478995,105
simWind_test.mat,0.01,raw_global_topk,global,0.6761250342301373,0.009992820396478995,105
simWind_test.mat,0.01,raw_goca_cfar_local,classical_local_cfar,0.7804716388024998,0.009992820396478995,105
simWind_test.mat,0.01,raw_os75_cfar_local,classical_local_cfar,0.7946190488240411,0.009992820396478995,105
simWind_test.mat,0.01,raw_soca_cfar_local,classical_local_cfar,0.0090692286148032,0.009992820396478995,105
simWind_test.mat,0.01,tpsscs_finished_detector,proposed,0.8663473290962684,0.009992820396478995,105
combined,1e-05,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.08982100058336938,0.0,210
combined,1e-05,low_rank_residual_k30_global_topk,global,0.1014607005729998,0.0,210
combined,1e-05,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.09100296369200082,0.0,210
combined,1e-05,low_rank_residual_k30_os75_cfar_local,classical_local_cfar,0.0904888996248959,0.0,210
combined,1e-05,low_rank_residual_k30_soca_cfar_local,classical_local_cfar,0.004073994204156571,0.0,210
combined,1e-05,raw_ca_cfar_local,classical_local_cfar,0.07525342963604455,0.0,210
combined,1e-05,raw_global_topk,global,0.07995109080162795,0.0,210
combined,1e-05,raw_goca_cfar_local,classical_local_cfar,0.07236545130169736,0.0,210
combined,1e-05,raw_os75_cfar_local,classical_local_cfar,0.07906990511535307,0.0,210
combined,1e-05,raw_soca_cfar_local,classical_local_cfar,0.004357927161146121,0.0,210
combined,1e-05,tpsscs_finished_detector,proposed,0.1845320530347855,0.0,210
combined,3e-05,low_rank_residual_k30_ca_cfar_local,classical_local_cfar,0.1463501613724322,1.526753812803079e-05,210
combined,3e-05,low_rank_residual_k30_global_topk,global,0.15705404312710922,1.526753812803079e-05,210
combined,3e-05,low_rank_residual_k30_goca_cfar_local,classical_local_cfar,0.14368865309980175,1.526753812803079e-05,210
