asset,comparator,pfa_target,n_items,target_pd_mean,comparator_pd_mean,mean_delta_pd,median_delta_pd,q05_delta_pd,min_delta_pd,max_delta_pd,bootstrap_ci95_low,bootstrap_ci95_high,wins,ties,losses,win_fraction,nonnegative_fraction,matched_sign_effect,one_sided_sign_p,bh_fdr_q_all_tests,positive_bootstrap_ci,significant_bh_0p05
simMed_test.mat,raw,0.0001,105,0.3631281887560888,0.19556315067817245,0.16756503807791637,0.163265306122449,0.0,-0.0833333333333334,0.5384615384615385,0.14500004334563715,0.1905918548953564,95,5,5,0.9047619047619048,0.9523809523809523,0.9,6.26162256269268e-23,1.1270920612846825e-22,True,True
simMed_test.mat,raw,0.0003,105,0.5154646610355453,0.2685671393591548,0.2468975216763906,0.22413793103448268,0.00909090909090908,-0.15000000000000002,0.64,0.21897675160955987,0.2747384221558919,99,3,3,0.9428571428571428,0.9714285714285714,0.9411764705882353,3.489802315561973e-26,7.092178899367881e-26,True,True
simMed_test.mat,raw,0.001,105,0.6957533928816516,0.35694212605591935,0.33881126682573226,0.3461538461538462,0.08405797101449275,-0.2,0.72,0.3081952169637026,0.3702987721030915,103,1,1,0.9809523809523809,0.9904761904761905,0.9807692307692307,5.17689969051289e-30,2.0384042531394504e-29,True,True
simMed_test.mat,raw,0.003,105,0.8138666025670929,0.4673269223287094,0.34653968023838333,0.3650793650793651,0.04022598870056498,-0.10000000000000003,0.6799999999999999,0.3135161108203102,0.3786930414630085,100,4,1,0.9523809523809523,0.9904761904761905,0.9801980198019802,4.02319061662716e-29,1.152095494761414e-28,True,True
simMed_test.mat,raw,0.01,105,0.8692331860864192,0.6340198282838332,0.235213357802586,0.2333333333333335,-0.0635057471264367,-0.2142857142857143,0.5925925925925926,0.2036108566517927,0.26743440642578015,93,2,10,0.8857142857142857,0.9047619047619048,0.8058252427184466,2.5993049519088795e-18,3.994053950494132e-18,True,True
simMed_test.mat,tpsscs_trainable_gate,1e-05,105,0.184544890419632,0.0954637840306099,0.08908110638902213,0.07894736842105261,0.0,0.0,0.3043478260869565,0.07738743315604554,0.10154349986500787,97,8,0,0.9238095238095239,1.0,1.0,6.310887241768095e-30,2.208810534618833e-29,True,True
simMed_test.mat,tpsscs_trainable_gate,3e-05,105,0.23292866331646772,0.15267499882744245,0.08025366448902524,0.08108108108108109,-0.07487179487179495,-0.1363636363636363,0.3043478260869565,0.06342371078762592,0.09656542115485192,85,8,12,0.8095238095238095,0.8857142857142857,0.7525773195876289,5.215882984834034e-15,6.991502724352003e-15,True,True
simMed_test.mat,tpsscs_trainable_gate,0.0001,105,0.3631281887560888,0.3057189210176154,0.057409267738473484,0.06666666666666665,-0.12352941176470596,-0.1666666666666667,0.47058823529411775,0.037677436524466756,0.0774542550438055,69,11,25,0.6571428571428571,0.7619047619047619,0.46808510638297873,3.169632353688242e-06,3.993736765647185e-06,True,True
simMed_test.mat,tpsscs_trainable_gate,0.0003,105,0.5154646610355453,0.5261980970561063,-0.010733436020560932,0.0,-0.2055555555555555,-0.35000000000000003,0.2666666666666667,-0.03318427467814987,0.011374655450038244,49,8,48,0.4666666666666667,0.5428571428571428,0.010309278350515464,0.5,0.6057692307692307,False,False
simMed_test.mat,tpsscs_trainable_gate,0.001,105,0.6957533928816516,0.7706760841863128,-0.07492269130466127,-0.054545454545454564,-0.2849462365591398,-0.45,0.12727272727272732,-0.09641976685614671,-0.05414847284175679,22,11,72,0.20952380952380953,0.3142857142857143,-0.5319148936170213,1.0,1.0,False,False
simMed_test.mat,tpsscs_trainable_gate,0.003,105,0.8138666025670929,0.890412847181967,-0.07654624461487414,-0.05882352941176461,-0.24516129032258063,-0.4285714285714286,0.03703703703703698,-0.09372253912516833,-0.060381854917604484,5,20,80,0.047619047619047616,0.23809523809523808,-0.8823529411764706,1.0,1.0,False,False
simMed_test.mat,tpsscs_trainable_gate,0.01,105,0.8692331860864192,0.9271913880914379,-0.057958202005018764,-0.033333333333333215,-0.20592105263157903,-0.4285714285714286,0.020408163265306256,-0.07372895879608511,-0.04399605226387469,1,29,75,0.009523809523809525,0.2857142857142857,-0.9736842105263158,1.0,1.0,False,False
simWind_test.mat,low_rank_residual_k30,1e-05,105,0.18451921564993898,0.10406778999802847,0.08045142565191052,0.06666666666666671,0.0,0.0,0.2432432432432432,0.06944454287575849,0.09197118676472528,96,9,0,0.9142857142857143,1.0,1.0,1.262177448353619e-29,3.7865323450608567e-29,True,True
simWind_test.mat,low_rank_residual_k30,3e-05,105,0.23871466421913762,0.16375806478384897,0.07495659943528865,0.06349206349206349,0.0,0.0,0.2432432432432432,0.06419434170461247,0.08618916828563807,94,11,0,0.8952380952380953,1.0,1.0,5.048709793414476e-29,1.3252863207712998e-28,True,True
simWind_test.mat,low_rank_residual_k30,0.0001,105,0.37324521082765943,0.31075641617749705,0.0624887946501624,0.047619047619047616,0.0,0.0,0.24000000000000005,0.05270194365610977,0.07294457974840704,88,17,0,0.8380952380952381,1.0,1.0,3.2311742677852644e-27,7.270142102516845e-27,True,True
simWind_test.mat,low_rank_residual_k30,0.0003,105,0.536815265185174,0.48694549702354095,0.049869768161632896,0.036363636363636265,0.0,0.0,0.24,0.03971109310840684,0.06063478348278535,71,34,0,0.6761904761904762,1.0,1.0,4.235164736271502e-22,7.411538288475128e-22,True,True
simWind_test.mat,low_rank_residual_k30,0.001,105,0.709979513423963,0.6696725698476255,0.04030694357633767,0.027027027027027084,0.0,0.0,0.2,0.03153741544814031,0.04992987570650677,60,45,0,0.5714285714285714,1.0,1.0,8.673617379884035e-19,1.3660947373317355e-18,True,True
simWind_test.mat,low_rank_residual_k30,0.003,105,0.8122135397335508,0.7791822124386072,0.03303132729494378,0.016949152542372836,0.0,0.0,0.19999999999999996,0.024766550730356496,0.042036668923538856,54,51,0,0.5142857142857142,1.0,1.0,5.551115123125783e-17,7.948187562657371e-17,True,True
