asset,item_id,image_index,target_count,tpsscs_auc,comparator_auc,comparator,delta_auc
simWind_test.mat,simWind_test.mat#70,70,43,0.5997368986394216,0.37898402069585835,raw,0.22075287794356324
simWind_test.mat,simWind_test.mat#71,71,27,0.4193499762983111,0.32030209055410946,raw,0.09904788574420165
simWind_test.mat,simWind_test.mat#72,72,37,0.6554204161989524,0.5163991210263489,raw,0.13902129517260353
simWind_test.mat,simWind_test.mat#74,74,35,0.5960165886339513,0.36700937443813536,raw,0.229007214195816
simWind_test.mat,simWind_test.mat#75,75,60,0.5168122841191541,0.3709153987155977,raw,0.14589688540355644
simWind_test.mat,simWind_test.mat#76,76,27,0.6289440658627514,0.3294201229906506,raw,0.2995239428721008
simWind_test.mat,simWind_test.mat#77,77,63,0.4745827276876538,0.2376286635716723,raw,0.2369540641159815
simWind_test.mat,simWind_test.mat#78,78,25,0.5630504993707116,0.2548585830186892,raw,0.3081919163520224
simWind_test.mat,simWind_test.mat#79,79,26,0.5405147591918252,0.2392327079097738,raw,0.30128205128205143
simWind_test.mat,simWind_test.mat#8,8,24,0.6348042876044867,0.3431376209378199,raw,0.2916666666666668
simWind_test.mat,simWind_test.mat#80,80,15,0.6141616104818227,0.40254208280892634,raw,0.21161952767289638
simWind_test.mat,simWind_test.mat#82,82,31,0.48682306390714025,0.38418051024519756,raw,0.10264255366194269
simWind_test.mat,simWind_test.mat#84,84,40,0.6090145150547074,0.3124185568786962,raw,0.2965959581760112
simWind_test.mat,simWind_test.mat#85,85,31,0.6422450263742298,0.39493319841724056,raw,0.2473118279569892
simWind_test.mat,simWind_test.mat#86,86,44,0.6447319738776154,0.3716580534945799,raw,0.27307392038303546
simWind_test.mat,simWind_test.mat#87,87,47,0.4478750215773468,0.3647850791512512,raw,0.08308994242609563
simWind_test.mat,simWind_test.mat#88,88,43,0.45245007693399536,0.255915547059875,raw,0.19653452987412035
simWind_test.mat,simWind_test.mat#89,89,50,0.5862313077355094,0.27122019974828465,raw,0.3150111079872247
simWind_test.mat,simWind_test.mat#9,9,23,0.6582839215884425,0.17244509919307527,raw,0.48583882239536724
simWind_test.mat,simWind_test.mat#90,90,15,0.5401599302933521,0.24596969412980027,raw,0.2941902361635518
